Date,US10Y_Yield,CPI,DXY_Close
2026-06-23,4.5,333.979,101.41000366210938
2026-06-24,4.41,333.979,101.61000061035156
2026-06-25,4.4,333.979,101.43000030517578
2026-06-26,4.38,333.979,101.36000061035156
2026-06-29,4.38,333.979,101.11000061035156
2026-06-30,4.44,333.979,101.19000244140624
2026-07-01,4.48,333.979,101.38999938964844
2026-07-02,4.49,333.979,100.86000061035156
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
2026-07-06,4.48,333.979,100.85700225830078
