Date,Asset,30D_Return,90D_Return
2025-11-28,Bitcoin,-0.15960260295253847,-0.23439606305920768
2025-12-01,Bitcoin,-0.18922360394065785,-0.2707355846808259
2025-12-02,Bitcoin,-0.17396611592918398,-0.22344950417379683
2025-12-03,Bitcoin,-0.1378089457705638,-0.20688386827029726
2025-12-04,Bitcoin,-0.1443696265686235,-0.21862325084048106
2025-12-05,Bitcoin,-0.18789879284615396,-0.2413913522470441
2025-12-08,Bitcoin,-0.18367106561325364,-0.2169867821192477
2025-12-09,Bitcoin,-0.18776501351313046,-0.18203635153769004
2025-12-10,Bitcoin,-0.1853393209990407,-0.2003177225974444
2025-12-11,Bitcoin,-0.15941047821198417,-0.18950267640102514
2025-12-12,Bitcoin,-0.16652086003789912,-0.21523095192040198
2025-12-15,Bitcoin,-0.21118284863735348,-0.264493085356043
2025-12-16,Bitcoin,-0.17554175319214582,-0.24719390670572083
2025-12-17,Bitcoin,-0.15204927686491432,-0.2744655168159499
2025-12-18,Bitcoin,-0.17738957020729562,-0.28883713909099207
2025-12-19,Bitcoin,-0.13028369502640058,-0.2857103858363673
2025-12-22,Bitcoin,-0.14396869691712333,-0.25236286723204304
2025-12-23,Bitcoin,-0.1753131217954822,-0.25540692150636435
2025-12-24,Bitcoin,-0.14937753324641778,-0.2463637148078237
2025-12-26,Bitcoin,-0.14126802597547905,-0.2262650277229027
2025-12-29,Bitcoin,-0.12597459862761407,-0.23746806199724113
2025-12-30,Bitcoin,-0.06321817819322928,-0.21338823303105092
2025-12-31,Bitcoin,-0.049786664694041805,-0.2512555078137978
2026-01-02,Bitcoin,-0.032320775130414425,-0.18324426853534959
2026-01-05,Bitcoin,0.026420338775161145,-0.16028332567009118
2026-01-06,Bitcoin,0.08192285913739017,-0.1572802271132132
2026-01-07,Bitcoin,0.07306753970579916,-0.18869596032413483
2026-01-08,Bitcoin,0.031228559351256013,-0.16035030804044248
2026-01-09,Bitcoin,0.03630801800610772,-0.18603754827899333
2026-01-12,Bitcoin,0.0074529073044653504,-0.18375965547109974
2026-01-13,Bitcoin,0.048422252365723395,-0.1391015112871501
2026-01-14,Bitcoin,0.12288652504927744,-0.12400844264969968
2026-01-15,Bitcoin,0.04598768509853812,-0.14740815061934198
2026-01-16,Bitcoin,0.021355280460965798,-0.143507138949461
